condition,subject,target_intensity,recorded_intensity,response,recording_deviates_from_mean,recording_deviates_from_target,recording_variance_z1,recording_variance_z2
1,1001,7.60000038146973,7.70000000000001,1,0,0,0,0
1,1001,4.60000038146973,4.70000000000002,1,0,0,0,0
1,1001,2.89999961853027,3,1,0,0,0,0
1,1001,6.39999961853027,6.5,1,0,0,0,0
1,1001,1.70000076293945,1.70000000000002,0,0,0,0,0
1,1001,3.79999923706055,3.89999999999999,1,0,0,0,0
1,1001,2.20000076293945,2.22654320987655,1,0,0,0.00167901234567906,0.00220679012345685
1,1001,1.20000076293945,1.20000000000002,1,0,0,0,0
1,1001,6.89999961853027,7,1,0,0,0,0
1,1001,4.70000076293945,4.79999999999998,1,0,0,0,0
1,1001,1.20000076293945,1.20000000000002,0,0,0,0,0
1,1001,0.799999237060547,0.799999999999976,1,0,0,0,0
1,1001,5.79999923706055,5.89999999999998,1,0,0,0,0
1,1001,3.79999923706055,3.89999999999998,1,0,0,0,0
1,1001,1.60000038146973,1.6,1,0,0,0,0
1,1001,2.29999923706055,2.36666666666667,1,0,0,0.00224899598393565,0
1,1001,0.600000381469727,0.593902439024387,0,0,0,0,0.00108401084010843
1,1001,0.299999237060547,0.299999999999979,1,0,0,0,0
1,1001,2.70000076293945,2.78882352941174,1,0,0,0.00175630252100845,0
1,1001,2.29999923706055,2.33214285714286,1,0,0,0,0.00232358003442331
1,1001,0.100000381469727,0.0791666666666622,0,0,0,0,0.00245983935742979
1,1001,0.100000381469727,0.0999999999999943,1,0,0,0,0
1,1001,2.20000076293945,2.24999999999999,1,0,0,0.0020957542908763,0.0020957542908763
1,1001,1.89999961853027,1.9,1,0,0,0,0
1,1001,1.60000038146973,1.60000000000001,1,0,0,0,0
1,1001,1.29999923706055,1.29999999999998,1,0,0,0,0
1,1001,1.20000076293945,1.20000000000002,1,0,0,0,0
1,1001,1,1,1,0,0,0,0
1,1001,1,1,1,0,0,0,0
1,1001,0.899999618530273,0.899999999999999,1,0,0,0,0
2,1001,7,6.90000000000002,1,0,0,0,0
2,1001,4.20000076293945,4.09999999999998,1,0,0,0,0
2,1001,5.70000076293945,5.59999999999998,1,0,0,0,0
2,1001,2.40000152587891,2.29096385542167,1,0,0,0,0.00149867763737861
2,1001,1.60000038146973,1.5,0,0,0,0,0
2,1001,6.79999923706055,6.70058139534886,1,0,0,0.000116279069767429,0
2,1001,3,2.90000000000001,1,0,0,0,0
2,1001,1.29999923706055,1.19938271604941,0,0,0,0,0.000123456790123451
2,1001,2.20000076293945,2.09999999999999,1,0,0,0,0
2,1001,1.29999923706055,1.19812500000002,0,0,0,0,0.000365506329113909
2,1001,2,1.90000000000001,1,0,0,0,0
2,1001,1.20000076293945,1.09999999999999,0,0,0,0,0
2,1001,2,1.89529411764707,0,0,0,0,0.000862745098039178
2,1001,2.5,2.39197530864198,0,0,0,0,0.00136419753086424
2,1001,3.79999923706055,3.70000000000002,1,0,0,0,0
2,1001,3.20000076293945,3.09999999999999,1,0,0,0,0
2,1001,2.79999923706055,2.66402439024392,1,0,0,0.00151309846431802,0.00251731406202958
2,1001,1.5,1.40000000000001,0,0,0,0,0
2,1001,2.40000152587891,2.27988505747125,1,0,0,0.00128575247260076,0.00191125367548762
2,1001,1.89999961853027,1.79999999999998,0,0,0,0,0
2,1001,2.40000152587891,2.25421686746989,0,0,0,0,0.000781663238319042
2,1001,2.79999923706055,2.6825581395349,1,0,0,0.00112859097127226,0.0017414500683995
2,1001,1.79999923706055,1.68647058823531,1,0,0,0,0.00199719887955173
2,1001,1.29999923706055,1.20000000000002,0,0,0,0,0
2,1001,2.70000076293945,2.58734939759035,0,0,0,0,0.00191301792536003
2,1001,3.40000152587891,3.29999999999998,1,0,0,0,0
2,1001,1.29999923706055,1.20000000000002,0,0,0,0,0
2,1001,3,2.90000000000001,1,0,0,0,0
2,1001,2.79999923706055,2.70000000000002,1,0,0,0,0
2,1001,1.70000076293945,1.59999999999999,1,0,0,0,0
3,1001,15,15.1,1,0,0,0,0
3,1001,8.79999923706055,8.89999999999998,0,0,0,0,0
3,1001,12.5,12.6,1,0,0,0,0
3,1001,7.60000038146973,7.70000000000002,0,0,0,0,0
3,1001,10.7000007629395,10.8,1,0,0,0,0
3,1001,13.7999992370605,13.9,1,0,0,0,0
3,1001,9.5,9.60000000000002,0,0,0,0,0
3,1001,10.7999992370605,10.9,1,0,0,0,0
3,1001,10.1000003814697,10.2,1,0,0,0,0
3,1001,9.29999923706055,9.39999999999998,1,0,0,0,0
3,1001,7.10000038146973,7.20000000000001,0,0,0,0,0
3,1001,8.10000038146973,8.20000000000001,0,0,0,0,0
